5,Nicolas,290,8,3.81,1.51,0.68
4,Bruno Leite,293,0,2,0,2.4
5,Bissoli,314,14,8.02,5.56,1.49
5,Léo Passos,327,0,2,0,2.4
5,Ytalo,280,10,7.48,3.31,2.55
3,Conti,327,12,4.77,2.39,5.25
5,Matheus Babi,293,5,3.07,-0.12,0.36
4,Ricardo Goulart,277,10,3.71,0.67,0.44
5,Pablo,293,9,5.69,4.39,1.68
4,Hugo Moura,293,11,6.76,3.95,0.39
5,Carlos Alberto,327,3,2.01,1.43,2.68
2,Khellven ,293,11,4.74,4.23,0.66
3,Lucas Fasson,293,1,1.86,-0.9,1.39
4,Christian,293,6,3.75,1.82,1.41
3,Pedro Henrique,293,13,8.39,4.58,5.14
4,Léo Cittadini,293,10,4.03,2.02,0.32
4,Gustavo,327,6,2.67,1.82,1.22
2,Abner Vinícius,293,14,8.28,4.13,5.64
1,Bento,293,15,9.8,5.22,10.96
3,Nicolás Hernández,293,8,3.85,2.54,1.15
4,Vitor Bueno,293,7,5.04,3.7,7.09
5,Pedro Rocha,293,6,2.77,1.38,1.72
1,Renan,373,0,4,0,4.77
5,David,285,11,4.85,1.95,-0.2
5,Carlos Eduardo,280,6,4.72,1.4,2.29
4,Willian,264,11,14.45,4.61,4.74
5,Willian,266,12,3.71,0.99,1.78
2,Dudu,373,4,7.58,2.27,6.71
2,Arthur Henrique,373,8,3.15,1.15,1.18
1,Ronaldo,373,13,4.98,3.24,-0.84
6,Umberto Louzer,286,8,5.33,3.13,2.52
4,Shaylon,373,13,3.16,0.78,0.66
4,Wellington Rato,373,15,10.87,4.48,6.13
2,Jefferson,373,15,3.86,2.39,-0.09
3,Ramon Menezes,373,13,3.72,1.55,-0.69
4,Rickson,373,7,1.25,0.16,0.11
4,Jorginho,373,13,7.01,3.74,7.31
5,Airton,373,13,5.57,3.71,2.89
3,Wanderson,373,7,2.69,1.43,1.23
4,Baralhas,373,13,6.77,3.42,1.28
5,Léo Pereira,373,14,6.46,2.68,3.02
4,Edson ,373,12,5.34,2.2,5.26
2,Mariano,282,8,7.78,5.91,0.97
2,Guga,282,8,8.96,5.01,4.87
4,Tchê Tchê,263,8,3.81,1.04,0.57
2,Dodô,282,0,6,0,7.15
4,Guilherme Castilho,282,3,3.04,-0.57,0.51
5,Morato,314,14,10.49,3.18,3.65
1,Rafael,282,0,5,0,5.96
4,Bruno Silva,314,13,8.62,3.97,7.48
4,Allan,282,11,4,1.53,1.81
3,Igor Rabello,282,2,4.66,5.95,2.96
5,Ademir,282,14,10.97,3.69,2.07
5,Rômulo ,314,7,2.75,1.07,1.27
5,Eduardo Sasha,282,13,7.87,3.85,9.31
5,Fábio Gomes,282,4,3.01,0.5,0.43
1,Vladimir,314,5,3.33,2,1.07
4,Neto,282,0,1,0,1.21
2,Bruno Cortez,314,14,7.01,2.28,4.07
1,Matheus Mendes,282,0,2,0,2.4
3,Vitor Mendes,286,8,4.37,3.97,0.71
1,Glédson,314,0,1.98,-1,4.78
4,Raniele,314,14,9.11,3.52,2.72
4,Jean Cléber,314,10,2.07,0.79,0.43
5,Erison,263,13,12.25,5.82,2.59
5,Felipe Felício,282,0,2,0,2.4
3,Klaus,263,1,2.89,-0.2,0.56
5,Matheus Nascimento,263,11,3.81,0.81,0.38
1,Douglas Friedrich,314,11,5.61,1.88,0.03
5,Copete,314,7,2.12,0.51,-0.15
5,Vinícius Lopes,263,11,5.73,4.3,7.01
2,Daniel Borges,263,14,6.92,3.14,5.24
4,Vinícius Leite,314,4,3.18,1.3,0.71
4,Eduardo,314,14,5.63,2.52,6.26
4,Del Piage,263,9,3.15,2.9,2.44
2,Carlinhos,263,0,5,0,5.96
3,Joel Carli,263,3,3.94,3.07,0.32
4,Felipe Ferreira,263,0,4,0,4.77
2,Matheus Ribeiro,314,1,3.02,0.8,3.06
2,Jonathan Silva,263,1,2.38,0.6,2.77
1,Diego Loureiro,263,2,2.06,0.5,2
2,Rafael,263,0,6,0,7.15
2,Hugo,263,12,7.31,4.03,7.15
2,Guilherme,280,2,2,2.3,1.6
4,Ênio,263,0,2,0,2.4
4,Lucas Evangelista,280,12,9.59,3.49,2.8
1,Ivan,264,0,6,0,7.15
5,Gabriel Novaes,280,1,2.99,0.1,0.51
4,Chay,263,11,9.7,3.07,3.32
3,Natan,280,10,7.88,4.44,0.69
4,Raul,280,9,6.85,3.05,3.91
5,Paulo Baya,314,0,3,0,3.59
1,Douglas Borges,263,0,3,0,3.59
5,Bruninho,280,0,3,0,3.59
2,Diego Matos,314,1,1.72,-2.3,-0.41
4,Breno,263,0,4,0,4.77
4,Macaé,314,0,1,0,1.21
4,Praxedes,280,8,7.75,3.08,1.63
4,Luciano,280,0,2,0,2.4
5,Luiz Fernando ,373,11,4.4,2.65,2.04
5,Rikelmi,263,1,1.46,0,0.91
5,Gonzalo,280,0,2,0,2.4
